[DEBUG] 2021-02-15 12:07:37.471 [% t] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-15 12:07:37.480 [% t] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-15 12:07:37.485 [% t] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-15 12:07:37.592 [% t] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-15 12:07:37.594 [% t] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-15 12:07:37.799 [% t] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-15 12:07:37.801 [% t] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-15 12:07:37.804 [% t] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-15 12:07:38.059 [% t] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-15 12:07:38.076 [% t] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-15 12:07:38.078 [% t] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-15 12:07:38.096 [% t] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-15 12:07:38.270 [% t] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@16ade133
[DEBUG] 2021-02-15 12:07:38.270 [% t] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@16ade133
[DEBUG] 2021-02-15 12:07:38.270 [% t] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@16ade133
[DEBUG] 2021-02-15 12:07:38.271 [% t] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4f82663e
[DEBUG] 2021-02-15 12:07:38.271 [% t] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4647881c
[DEBUG] 2021-02-15 12:07:38.272 [% t] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@10667848
[DEBUG] 2021-02-15 12:07:38.273 [% t] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7bb35cc6
[DEBUG] 2021-02-15 12:07:38.273 [% t] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7bb35cc6
[DEBUG] 2021-02-15 12:07:38.273 [% t] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7bb35cc6
[DEBUG] 2021-02-15 12:07:38.274 [% t] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@11de56e6
[DEBUG] 2021-02-15 12:07:38.274 [% t] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@11de56e6
[DEBUG] 2021-02-15 12:07:38.275 [% t] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@11de56e6
[DEBUG] 2021-02-15 12:07:38.275 [% t] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62b969c4
[DEBUG] 2021-02-15 12:07:38.276 [% t] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62b969c4
[DEBUG] 2021-02-15 12:07:38.276 [% t] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@62b969c4
[DEBUG] 2021-02-15 12:07:38.277 [% t] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@79d743e6
[DEBUG] 2021-02-15 12:07:38.277 [% t] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@79d743e6
[DEBUG] 2021-02-15 12:07:38.277 [% t] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@79d743e6
[DEBUG] 2021-02-15 12:07:38.278 [% t] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5cdf39b2
[DEBUG] 2021-02-15 12:07:38.278 [% t] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5cdf39b2
[DEBUG] 2021-02-15 12:07:38.278 [% t] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5cdf39b2
[DEBUG] 2021-02-15 12:07:38.279 [% t] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3bead518
[DEBUG] 2021-02-15 12:07:38.279 [% t] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3bead518
[DEBUG] 2021-02-15 12:07:38.279 [% t] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3bead518
[DEBUG] 2021-02-15 12:07:38.281 [% t] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@345cf395
[DEBUG] 2021-02-15 12:07:38.281 [% t] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@345cf395
[DEBUG] 2021-02-15 12:07:38.281 [% t] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@345cf395
[DEBUG] 2021-02-15 12:07:38.282 [% t] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@289fdb08
[DEBUG] 2021-02-15 12:07:38.282 [% t] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@289fdb08
[DEBUG] 2021-02-15 12:07:38.283 [% t] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7ce9e05a
[DEBUG] 2021-02-15 12:07:38.283 [% t] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7ce9e05a
[DEBUG] 2021-02-15 12:07:38.284 [% t] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5136207f
[DEBUG] 2021-02-15 12:07:38.284 [% t] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5136207f
[DEBUG] 2021-02-15 12:07:38.285 [% t] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5411dd90
[DEBUG] 2021-02-15 12:07:38.285 [% t] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@73ad4ecc
[DEBUG] 2021-02-15 12:07:38.286 [% t] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6aef4eb8
[DEBUG] 2021-02-15 12:07:38.286 [% t] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6aef4eb8
[DEBUG] 2021-02-15 12:07:38.287 [% t] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1f6d27cc
[DEBUG] 2021-02-15 12:07:38.287 [% t] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1f6d27cc
[DEBUG] 2021-02-15 12:07:38.294 [% t] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@3f4b840d
[DEBUG] 2021-02-15 12:07:38.294 [% t] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@3f4b840d
[DEBUG] 2021-02-15 12:07:38.296 [% t] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6d9fb2d1
[DEBUG] 2021-02-15 12:07:38.296 [% t] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6d9fb2d1
[DEBUG] 2021-02-15 12:07:38.297 [% t] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2125ad3
[DEBUG] 2021-02-15 12:07:38.297 [% t] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2125ad3
[DEBUG] 2021-02-15 12:07:38.298 [% t] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6eb82908
[DEBUG] 2021-02-15 12:07:38.298 [% t] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6eb82908
[DEBUG] 2021-02-15 12:07:38.300 [% t] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1bd0b0e5
[DEBUG] 2021-02-15 12:07:38.300 [% t] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1bd0b0e5
[DEBUG] 2021-02-15 12:07:38.301 [% t] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@10ee04df
[DEBUG] 2021-02-15 12:07:38.301 [% t] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@10ee04df
[DEBUG] 2021-02-15 12:07:38.303 [% t] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3cec79d3
[DEBUG] 2021-02-15 12:07:38.303 [% t] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3cec79d3
[DEBUG] 2021-02-15 12:07:38.305 [% t] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4bb003e9
[DEBUG] 2021-02-15 12:07:38.305 [% t] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4bb003e9
[DEBUG] 2021-02-15 12:07:38.306 [% t] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@6e495b48
[DEBUG] 2021-02-15 12:07:38.306 [% t] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@6e495b48
[DEBUG] 2021-02-15 12:07:38.307 [% t] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@26f7cdf8
[DEBUG] 2021-02-15 12:07:38.307 [% t] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@26f7cdf8
[DEBUG] 2021-02-15 12:07:38.307 [% t] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@26f7cdf8
[DEBUG] 2021-02-15 12:07:38.308 [% t] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4f824872
[DEBUG] 2021-02-15 12:07:38.309 [% t] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@35fb22a9
[DEBUG] 2021-02-15 12:07:38.309 [% t] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@35fb22a9
[DEBUG] 2021-02-15 12:07:38.309 [% t] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@35fb22a9
[DEBUG] 2021-02-15 12:07:38.310 [% t] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@184dbacc
[DEBUG] 2021-02-15 12:07:38.310 [% t] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@5fc930f0
[DEBUG] 2021-02-15 12:07:38.310 [% t] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@5fc930f0
[DEBUG] 2021-02-15 12:07:38.312 [% t] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@31133b6e
[DEBUG] 2021-02-15 12:07:38.312 [% t] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@31133b6e
[DEBUG] 2021-02-15 12:07:38.313 [% t] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@61f80d55
