[DEBUG] 2021-02-20 21:10:46.825 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-20 21:10:46.835 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-20 21:10:46.840 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-20 21:10:46.934 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-20 21:10:46.936 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-20 21:10:47.135 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-20 21:10:47.136 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-20 21:10:47.140 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-20 21:10:47.406 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-20 21:10:47.428 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-20 21:10:47.429 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-20 21:10:47.447 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-20 21:10:47.614 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@68dcfd52
[DEBUG] 2021-02-20 21:10:47.615 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@68dcfd52
[DEBUG] 2021-02-20 21:10:47.615 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@68dcfd52
[DEBUG] 2021-02-20 21:10:47.615 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@cc239ba
[DEBUG] 2021-02-20 21:10:47.616 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2c708440
[DEBUG] 2021-02-20 21:10:47.617 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@66e8997c
[DEBUG] 2021-02-20 21:10:47.618 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12958360
[DEBUG] 2021-02-20 21:10:47.618 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12958360
[DEBUG] 2021-02-20 21:10:47.618 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@12958360
[DEBUG] 2021-02-20 21:10:47.619 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@66f659e6
[DEBUG] 2021-02-20 21:10:47.619 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@66f659e6
[DEBUG] 2021-02-20 21:10:47.619 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@66f659e6
[DEBUG] 2021-02-20 21:10:47.620 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@50a3d0f6
[DEBUG] 2021-02-20 21:10:47.621 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@50a3d0f6
[DEBUG] 2021-02-20 21:10:47.621 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@50a3d0f6
[DEBUG] 2021-02-20 21:10:47.622 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@35636217
[DEBUG] 2021-02-20 21:10:47.622 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@35636217
[DEBUG] 2021-02-20 21:10:47.622 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@35636217
[DEBUG] 2021-02-20 21:10:47.623 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36dfbdaf
[DEBUG] 2021-02-20 21:10:47.623 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36dfbdaf
[DEBUG] 2021-02-20 21:10:47.623 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@36dfbdaf
[DEBUG] 2021-02-20 21:10:47.624 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@359b650b
[DEBUG] 2021-02-20 21:10:47.624 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@359b650b
[DEBUG] 2021-02-20 21:10:47.624 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@359b650b
[DEBUG] 2021-02-20 21:10:47.625 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2c6ee758
[DEBUG] 2021-02-20 21:10:47.625 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2c6ee758
[DEBUG] 2021-02-20 21:10:47.625 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2c6ee758
[DEBUG] 2021-02-20 21:10:47.626 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@256aa5f2
[DEBUG] 2021-02-20 21:10:47.626 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@256aa5f2
[DEBUG] 2021-02-20 21:10:47.627 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7cb2651f
[DEBUG] 2021-02-20 21:10:47.627 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7cb2651f
[DEBUG] 2021-02-20 21:10:47.628 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@610df783
[DEBUG] 2021-02-20 21:10:47.628 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@610df783
[DEBUG] 2021-02-20 21:10:47.629 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@776802b0
[DEBUG] 2021-02-20 21:10:47.630 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6ee8dcd3
[DEBUG] 2021-02-20 21:10:47.630 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1cc9cfb2
[DEBUG] 2021-02-20 21:10:47.631 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1cc9cfb2
[DEBUG] 2021-02-20 21:10:47.631 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@17740dae
[DEBUG] 2021-02-20 21:10:47.631 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@17740dae
[DEBUG] 2021-02-20 21:10:47.641 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5ff60a8c
[DEBUG] 2021-02-20 21:10:47.642 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5ff60a8c
[DEBUG] 2021-02-20 21:10:47.643 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4c4f4365
[DEBUG] 2021-02-20 21:10:47.643 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4c4f4365
[DEBUG] 2021-02-20 21:10:47.646 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@d56aaa6
[DEBUG] 2021-02-20 21:10:47.646 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@d56aaa6
[DEBUG] 2021-02-20 21:10:47.647 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6fd77352
[DEBUG] 2021-02-20 21:10:47.647 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6fd77352
[DEBUG] 2021-02-20 21:10:47.649 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c65860d
[DEBUG] 2021-02-20 21:10:47.649 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c65860d
[DEBUG] 2021-02-20 21:10:47.650 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@33f98231
[DEBUG] 2021-02-20 21:10:47.650 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@33f98231
[DEBUG] 2021-02-20 21:10:47.653 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@540a903b
[DEBUG] 2021-02-20 21:10:47.653 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@540a903b
[DEBUG] 2021-02-20 21:10:47.656 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@7a7d1b47
[DEBUG] 2021-02-20 21:10:47.656 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7a7d1b47
[DEBUG] 2021-02-20 21:10:47.657 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1bd0b0e5
[DEBUG] 2021-02-20 21:10:47.657 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1bd0b0e5
[DEBUG] 2021-02-20 21:10:47.658 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7186333e
[DEBUG] 2021-02-20 21:10:47.658 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7186333e
[DEBUG] 2021-02-20 21:10:47.658 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7186333e
[DEBUG] 2021-02-20 21:10:47.660 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1686f0b4
[DEBUG] 2021-02-20 21:10:47.661 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@6f38a289
[DEBUG] 2021-02-20 21:10:47.661 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6f38a289
[DEBUG] 2021-02-20 21:10:47.662 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6f38a289
[DEBUG] 2021-02-20 21:10:47.662 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3157e4c0
[DEBUG] 2021-02-20 21:10:47.663 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@77010a30
[DEBUG] 2021-02-20 21:10:47.663 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@77010a30
[DEBUG] 2021-02-20 21:10:47.664 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@28348c6
[DEBUG] 2021-02-20 21:10:47.664 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@28348c6
[DEBUG] 2021-02-20 21:10:47.665 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@58e92c23
[DEBUG] 2021-02-20 21:10:47.665 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@58e92c23
[DEBUG] 2021-02-20 21:10:47.667 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@4f824872
[DEBUG] 2021-02-20 21:10:47.667 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4f824872
[DEBUG] 2021-02-20 21:10:47.668 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@363f0ba0
[DEBUG] 2021-02-20 21:10:47.668 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@363f0ba0
[DEBUG] 2021-02-20 21:10:47.669 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@50acf55d
[DEBUG] 2021-02-20 21:10:47.670 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@301aa982
[DEBUG] 2021-02-20 21:10:47.670 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@301aa982
[DEBUG] 2021-02-20 21:10:47.670 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@301aa982
[DEBUG] 2021-02-20 21:10:47.672 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@784c5ef5
[DEBUG] 2021-02-20 21:10:47.672 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@784c5ef5
[DEBUG] 2021-02-20 21:10:47.672 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@784c5ef5
[DEBUG] 2021-02-20 21:10:47.673 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@b965857
[DEBUG] 2021-02-20 21:10:47.674 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@11e33bac
[DEBUG] 2021-02-20 21:10:47.676 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@74abbb
[DEBUG] 2021-02-20 21:10:47.676 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@74abbb
[DEBUG] 2021-02-20 21:10:47.676 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@74abbb
[DEBUG] 2021-02-20 21:10:47.677 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@af9a89f
[DEBUG] 2021-02-20 21:10:47.678 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@af9a89f
[DEBUG] 2021-02-20 21:10:47.678 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@af9a89f
[DEBUG] 2021-02-20 21:10:47.678 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@1cb37ee4
[DEBUG] 2021-02-20 21:10:47.679 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@2881ad47
[DEBUG] 2021-02-20 21:10:47.680 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@3ece1e79
[DEBUG] 2021-02-20 21:10:47.680 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@3ece1e79
[DEBUG] 2021-02-20 21:10:47.681 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@13f9ad9
[DEBUG] 2021-02-20 21:10:47.682 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@70101687
[DEBUG] 2021-02-20 21:10:47.682 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@70101687
[DEBUG] 2021-02-20 21:10:47.683 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@2f1ea80d
[DEBUG] 2021-02-20 21:10:47.684 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@2f1ea80d
[DEBUG] 2021-02-20 21:10:47.684 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@4dbad37
[DEBUG] 2021-02-20 21:10:47.684 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@58f07f02
[DEBUG] 2021-02-20 21:10:47.685 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@2add4d24
[DEBUG] 2021-02-20 21:10:47.688 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6ac0b715
[DEBUG] 2021-02-20 21:10:47.688 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6ac0b715
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@2264e43c
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@3bec2275
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@31da3d60
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@60acd609
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@65ec8b24
[DEBUG] 2021-02-20 21:10:47.689 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3f49e266
[DEBUG] 2021-02-20 21:10:47.690 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5f18f9d2
[DEBUG] 2021-02-20 21:10:47.690 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@598260a6
[DEBUG] 2021-02-20 21:10:47.715 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-02-20 21:10:47.716 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
